area_terreno,area_construida,area_ocupada,ano_construcao,quantidade_pavimentos,valor_venal,valor_m2_construcao,bairro,valor_iptu_ano,area_privativa,vagas,quartos,banheiros,valor_condominio,valor_aluguel,preco,academia,cafe,farmacia,padaria,restaurantes,shopping,supermercado,area_comercial,area_industrial_logistico,area_outros,area_residencial,area_servico,caminhabilidade,metro_distancia,metro_linha,metro_estacao
2147,93,2147,2000,23,356405,2139,BAIRRO001,1645.32,47,1,2,1,432,2600,474161,17.0,8.0,4.0,5.0,38.0,0.0,4.0,15.32,0.22,5.07,63.93,15.47,Região Plana - Confortável para caminhar,368.0,LINHA001,ESTACAO001
1050,62,1000,1971,19,145469,2139,BAIRRO001,673.702,52,0,1,1,543,1698,329779,17.0,8.0,5.0,6.0,36.0,0.0,4.0,8.99,0.02,5.7,71.25,14.03,Áreas planas ou com declividades muito suaves,388.0,LINHA001,ESTACAO001
1050,91,1000,1971,19,214098,2139,BAIRRO001,991.612,75,1,2,1,783,2449,481540,17.0,8.0,5.0,6.0,36.0,0.0,4.0,8.99,0.02,5.7,71.25,14.03,Áreas planas ou com declividades muito suaves,388.0,LINHA001,ESTACAO001
1800,53,658,1978,17,145617,2139,BAIRRO001,659.015,40,1,1,1,521,1351,356349,20.0,9.0,4.0,7.0,36.0,0.0,4.0,15.32,0.22,5.07,63.93,15.47,Região Plana - Confortável para caminhar,456.0,LINHA001,ESTACAO001
1800,65,658,1978,17,177109,2139,BAIRRO001,802.679,54,0,1,1,703,1824,386951,20.0,9.0,4.0,7.0,36.0,0.0,4.0,15.32,0.22,5.07,63.93,15.47,Região Plana - Confortável para caminhar,456.0,LINHA001,ESTACAO001
927,71,700,1967,19,141378,2139,BAIRRO001,651.918,50,0,1,1,510,1679,355335,20.0,7.0,3.0,6.0,36.0,0.0,3.0,8.65,0.94,7.9,69.66,12.86,Áreas planas ou com declividades muito suaves,545.0,LINHA001,ESTACAO001
927,129,700,1967,19,256399,2139,BAIRRO001,86.4067,64,0,1,1,653,2149,516951,20.0,7.0,3.0,6.0,36.0,0.0,3.0,8.65,0.94,7.9,69.66,12.86,Áreas planas ou com declividades muito suaves,545.0,LINHA001,ESTACAO001
437,45,250,1969,18,130777,2139,BAIRRO001,562.6990000000001,40,0,1,1,629,1715,334688,22.0,6.0,2.0,7.0,39.0,0.0,4.0,6.48,0.09,8.61,69.0,15.82,Áreas planas ou com declividades muito suaves,590.0,LINHA001,ESTACAO001
437,87,250,1969,18,257887,2139,BAIRRO001,27.1714,70,0,2,1,1101,3001,555785,22.0,6.0,2.0,7.0,39.0,0.0,4.0,6.48,0.09,8.61,69.0,15.82,Áreas planas ou com declividades muito suaves,590.0,LINHA001,ESTACAO001
2830,45,2430,1982,24,170187,2139,BAIRRO001,723.8530000000001,34,0,1,1,385,1779,361581,18.0,7.0,0.0,8.0,36.0,0.0,4.0,3.73,0.81,6.43,76.43,12.61,Áreas planas ou com declividades muito suaves,695.0,LINHA001,ESTACAO001
2830,56,2430,1982,24,208885,2139,BAIRRO001,890.198,35,0,1,1,396,1831,315294,18.0,7.0,0.0,8.0,36.0,0.0,4.0,3.73,0.81,6.43,76.43,12.61,Áreas planas ou com declividades muito suaves,695.0,LINHA001,ESTACAO001
1517,332,1334,2007,23,1576690,2497,BAIRRO001,10927.9,200,3,4,5,2186,10106,2353492,14.0,5.0,0.0,9.0,32.0,0.0,3.0,3.73,0.81,6.43,76.43,12.61,Áreas planas ou com declividades muito suaves,724.0,LINHA001,ESTACAO001
963,144,300,1961,12,472856,2139,BAIRRO001,2369.18,128,2,3,3,1370,3147,882903,14.0,5.0,0.0,9.0,28.0,0.0,3.0,3.73,0.81,6.43,76.43,12.61,Áreas planas ou com declividades muito suaves,744.0,LINHA001,ESTACAO001
963,268,300,1961,12,744084,2139,BAIRRO001,4101.91,160,1,3,3,1713,3934,1156980,14.0,5.0,0.0,9.0,28.0,0.0,3.0,3.73,0.81,6.43,76.43,12.61,Áreas planas ou com declividades muito suaves,744.0,LINHA001,ESTACAO001
901,140,441,1975,12,430047,2139,BAIRRO001,2086.12,104,1,3,3,1273,3595,875728,9.0,5.0,1.0,9.0,26.0,0.0,2.0,2.64,0.71,7.53,79.04,10.08,Áreas planas ou com declividades muito suaves,837.0,LINHA001,ESTACAO001
552,174,365,1968,7,681870,2139,BAIRRO001,3584.17,126,1,3,2,1984,3463,753934,9.0,3.0,1.0,7.0,22.0,0.0,2.0,2.64,0.71,7.53,79.04,10.08,Áreas planas ou com declividades muito suaves,884.0,LINHA001,ESTACAO001
859,216,500,1962,13,585925,2139,BAIRRO001,2972.93,142,1,3,1,1639,4297,1281012,9.0,4.0,0.0,7.0,20.0,0.0,2.0,4.92,0.77,5.31,80.83,8.17,Áreas planas ou com declividades muito suaves,981.0,LINHA001,ESTACAO001
859,244,500,1962,13,710695,2139,BAIRRO001,3782.8,213,1,3,4,2459,6446,1377486,9.0,4.0,0.0,7.0,20.0,0.0,2.0,4.92,0.77,5.31,80.83,8.17,Áreas planas ou com declividades muito suaves,981.0,LINHA001,ESTACAO001
1848,886,1456,2012,18,5435410,3092,BAIRRO001,46785.6,548,5,4,6,8251,20843,7977451,9.0,4.0,1.0,7.0,19.0,0.0,2.0,3.9,0.0,4.53,87.58,3.98,Região com ruas íngremes,987.0,LINHA001,ESTACAO001
1217,184,500,1982,15,854576,2139,BAIRRO001,4409.73,116,1,3,2,1587,3200,939425,9.0,3.0,0.0,5.0,18.0,0.0,2.0,4.92,0.77,5.31,80.83,8.17,Áreas planas ou com declividades muito suaves,1027.0,LINHA001,ESTACAO001
592,120,242,1959,11,351466,2139,BAIRRO001,1781.5,69,0,1,1,729,2171,467107,10.0,3.0,0.0,4.0,18.0,0.0,2.0,3.8,0.35,5.05,85.09,5.71,Áreas planas ou com declividades muito suaves,1104.0,LINHA001,ESTACAO001
510,328,510,2008,12,1694850,2497,BAIRRO001,11635.4,183,3,3,1,3670,4900,1107181,14.0,2.0,0.0,4.0,24.0,0.0,4.0,4.64,0.09,1.76,89.36,4.15,Região com ruas íngremes,1214.0,LINHA001,ESTACAO001
1631,81,1303,1982,15,437080,2139,BAIRRO002,1449.1,47,1,1,1,979,2683,531188,14.0,24.0,1.0,5.0,34.0,1.0,1.0,10.98,0.16,12.5,18.59,57.78,Áreas planas ou com declividades muito suaves,1849.0,LINHA002,ESTACAO002
1631,87,1303,1982,15,485834,2139,BAIRRO002,1715.86,60,1,1,2,1250,3425,600950,14.0,24.0,1.0,5.0,34.0,1.0,1.0,10.98,0.16,12.5,18.59,57.78,Áreas planas ou com declividades muito suaves,1849.0,LINHA002,ESTACAO002
1296,249,450,1970,16,1209340,2497,BAIRRO002,7062.25,159,1,3,3,1863,7212,1275898,21.0,23.0,1.0,7.0,32.0,1.0,1.0,3.78,0.03,7.32,43.4,45.47,Região com ruas íngremes,1934.0,LINHA002,ESTACAO002
1296,266,450,1970,16,1240160,2497,BAIRRO002,7322.31,199,1,3,3,2332,9026,1679197,21.0,23.0,1.0,7.0,32.0,1.0,1.0,3.78,0.03,7.32,43.4,45.47,Região com ruas íngremes,1934.0,LINHA002,ESTACAO002
1177,378,600,1974,16,1769590,3092,BAIRRO002,12200.1,272,2,4,5,2984,10037,2883214,20.0,24.0,1.0,7.0,33.0,1.0,2.0,3.78,0.03,7.32,43.4,45.47,Região com ruas íngremes,1949.0,LINHA002,ESTACAO002
1177,398,600,1976,16,1867130,3092,BAIRRO002,13112.7,280,2,4,4,3072,10332,2977778,20.0,24.0,1.0,7.0,33.0,1.0,2.0,3.78,0.03,7.32,43.4,45.47,Região com ruas íngremes,1949.0,LINHA002,ESTACAO002
292,227,250,1974,10,1208500,2497,BAIRRO002,7256.07,196,2,3,3,3214,7245,1601899,19.0,17.0,2.0,5.0,32.0,1.0,2.0,4.18,0.0,5.58,70.29,19.94,Região com ruas íngremes,1991.0,LINHA002,ESTACAO002
1080,251,600,1970,17,998420,2497,BAIRRO002,5898.39,198,1,3,4,1840,8744,1528944,18.0,17.0,2.0,5.0,30.0,1.0,2.0,4.18,0.0,5.58,70.29,19.94,Região com ruas íngremes,442.0,LINHA003,ESTACAO003
1342,129,1097,2006,21,807673,2497,BAIRRO002,4149.72,96,2,2,2,1273,7742,784338,20.0,16.0,2.0,5.0,30.0,1.0,2.0,3.2,0.0,5.24,64.11,27.45,Região com ruas íngremes,479.0,LINHA003,ESTACAO003
1342,209,1097,2006,21,1193750,2497,BAIRRO002,7345.08,100,2,2,3,1326,8065,1409501,20.0,16.0,2.0,5.0,30.0,1.0,2.0,3.2,0.0,5.24,64.11,27.45,Região com ruas íngremes,479.0,LINHA003,ESTACAO003
1250,158,650,1974,15,753680,2139,BAIRRO002,3939.15,101,1,3,3,1103,4373,994863,20.0,13.0,2.0,5.0,35.0,0.0,3.0,2.65,0.0,5.0,83.55,8.8,Região com ruas íngremes,523.0,LINHA003,ESTACAO003
1275,177,800,1973,15,654103,2139,BAIRRO002,3499.25,127,1,2,2,1054,4658,1150891,17.0,11.0,1.0,4.0,27.0,0.0,3.0,3.2,0.0,4.72,82.92,9.16,Região com ruas íngremes,553.0,LINHA003,ESTACAO003
490,69,430,1997,15,359097,2139,BAIRRO002,744.1339999999999,31,1,1,1,849,2482,392225,19.0,10.0,1.0,6.0,29.0,0.0,3.0,2.65,0.0,5.0,83.55,8.8,Região com ruas íngremes,589.0,LINHA003,ESTACAO003
490,106,430,1997,15,563714,2139,BAIRRO002,2775.41,58,2,2,2,1588,4644,718596,19.0,10.0,1.0,6.0,29.0,0.0,3.0,2.65,0.0,5.0,83.55,8.8,Região com ruas íngremes,589.0,LINHA003,ESTACAO003
700,184,400,1975,15,762280,2139,BAIRRO002,3992.1,126,1,3,3,1778,9906,1176104,20.0,5.0,1.0,6.0,30.0,0.0,2.0,3.21,0.0,4.71,82.17,9.91,Região com ruas íngremes,634.0,LINHA003,ESTACAO003
900,271,600,1977,16,1149660,2497,BAIRRO002,7246.98,172,2,2,2,1720,6147,1347149,19.0,7.0,1.0,6.0,23.0,0.0,2.0,3.21,0.0,4.71,82.17,9.91,Região com ruas íngremes,652.0,LINHA003,ESTACAO003
675,222,450,1977,15,918233,2497,BAIRRO002,5508.94,134,2,3,3,1850,4800,1065536,17.0,8.0,1.0,6.0,23.0,0.0,3.0,3.21,0.0,4.71,82.17,9.91,Região com ruas íngremes,666.0,LINHA003,ESTACAO003
1745,122,550,1971,15,491092,2139,BAIRRO002,1710.86,89,1,2,2,1174,3922,855522,18.0,9.0,1.0,6.0,23.0,0.0,2.0,4.05,0.0,4.46,75.89,15.6,Região com ruas íngremes,686.0,LINHA003,ESTACAO003
810,226,550,1973,13,1001410,2497,BAIRRO002,5920.57,183,2,3,4,2131,5635,1359237,17.0,8.0,1.0,6.0,23.0,0.0,3.0,3.21,0.0,4.71,82.17,9.91,Região com ruas íngremes,679.0,LINHA003,ESTACAO003
624,208,400,1971,11,732668,2139,BAIRRO002,3906.29,122,1,3,3,1742,6052,918982,19.0,6.0,1.0,5.0,21.0,1.0,4.0,3.41,0.0,7.06,77.28,12.25,Região com ruas íngremes,792.0,LINHA003,ESTACAO003
782,137,522,1968,12,472674,2139,BAIRRO002,1578.78,89,1,2,1,1250,2373,687790,18.0,6.0,1.0,5.0,19.0,0.0,4.0,3.41,0.0,7.06,77.28,12.25,Região com ruas íngremes,816.0,LINHA003,ESTACAO003
583,184,400,1975,12,846797,2139,BAIRRO002,4476.67,110,1,3,1,1715,4573,911351,19.0,8.0,1.0,8.0,21.0,1.0,5.0,9.95,0.0,4.61,62.76,22.67,Região com leve declive,870.0,LINHA003,ESTACAO003
600,117,97,1983,17,604454,2139,BAIRRO002,2865.62,53,1,1,1,1200,3287,536567,18.0,10.0,1.0,7.0,23.0,1.0,5.0,3.5,0.0,5.74,76.42,14.35,Região com leve declive,896.0,LINHA003,ESTACAO003
600,140,97,1983,17,723331,2139,BAIRRO002,4138.18,105,1,1,2,2377,6512,1077567,18.0,10.0,1.0,7.0,23.0,1.0,5.0,3.5,0.0,5.74,76.42,14.35,Região com leve declive,896.0,LINHA003,ESTACAO003
2106,732,1870,1990,20,4815380,3599,BAIRRO002,42775.2,394,5,4,6,6800,13684,6500000,16.0,8.0,1.0,8.0,23.0,1.0,4.0,9.95,0.0,4.61,62.76,22.67,Região com leve declive,904.0,LINHA003,ESTACAO003
2106,1349,1870,1990,20,8870870,3599,BAIRRO002,82464.6,798,5,4,6,13773,27715,11139594,16.0,8.0,1.0,8.0,23.0,1.0,4.0,9.95,0.0,4.61,62.76,22.67,Região com leve declive,904.0,LINHA003,ESTACAO003
312,213,300,1972,12,1110120,2497,BAIRRO002,6615.14,149,1,3,2,2721,6614,1210592,16.0,10.0,1.0,8.0,24.0,1.0,6.0,9.95,0.0,4.61,62.76,22.67,Região com leve declive,940.0,LINHA003,ESTACAO003
3000,636,508,1983,24,4929550,3599,BAIRRO002,43412.5,466,4,4,6,5470,13464,4500535,12.0,9.0,0.0,8.0,25.0,1.0,4.0,3.67,0.0,6.39,76.66,13.28,Áreas planas ou com declividades muito suaves,1002.0,LINHA003,ESTACAO003
3000,1164,508,1983,24,9024470,3599,BAIRRO002,84994.9,937,5,4,6,10999,27072,9049358,12.0,9.0,0.0,8.0,25.0,1.0,4.0,3.67,0.0,6.39,76.66,13.28,Áreas planas ou com declividades muito suaves,1002.0,LINHA003,ESTACAO003
1091,341,500,1971,13,1515290,2497,BAIRRO002,10155.0,243,2,4,4,3051,8980,3219242,12.0,10.0,0.0,6.0,24.0,1.0,3.0,3.7,0.0,7.02,76.01,13.28,Áreas planas ou com declividades muito suaves,1082.0,LINHA003,ESTACAO003
1939,260,1545,2007,23,1410320,2497,BAIRRO002,8949.84,112,3,3,3,1629,6692,1631862,13.0,8.0,0.0,6.0,19.0,1.0,3.0,11.96,0.0,4.39,71.27,12.38,Região Plana - Confortável para caminhar,1126.0,LINHA003,ESTACAO003
1939,374,1545,2007,23,2029210,2497,BAIRRO002,13765.6,164,3,3,4,2385,9799,2858575,13.0,8.0,0.0,6.0,19.0,1.0,3.0,11.96,0.0,4.39,71.27,12.38,Região Plana - Confortável para caminhar,1126.0,LINHA003,ESTACAO003
1000,147,700,1972,14,638382,2497,BAIRRO002,3448.4,105,1,3,1,1301,4186,960014,11.0,8.0,0.0,5.0,18.0,1.0,2.0,4.81,0.0,4.92,80.24,10.03,Região Plana - Confortável para caminhar,1183.0,LINHA003,ESTACAO003
799,293,402,1975,14,1292260,2497,BAIRRO002,8247.48,206,1,3,3,2430,7121,2506968,10.0,8.0,0.0,5.0,18.0,1.0,2.0,4.81,0.0,4.92,80.24,10.03,Região Plana - Confortável para caminhar,1186.0,LINHA003,ESTACAO003
799,313,402,1975,14,1380590,2497,BAIRRO002,8949.64,224,2,4,2,2642,7743,3011520,10.0,8.0,0.0,5.0,18.0,1.0,2.0,4.81,0.0,4.92,80.24,10.03,Região Plana - Confortável para caminhar,1186.0,LINHA003,ESTACAO003
650,96,325,1975,13,393429,2139,BAIRRO002,1118.39,75,1,2,2,1077,4500,745425,10.0,7.0,0.0,5.0,17.0,1.0,2.0,4.81,0.0,4.92,80.24,10.03,Região Plana - Confortável para caminhar,1205.0,LINHA003,ESTACAO003
607,366,292,1977,12,1938420,3092,BAIRRO002,13784.6,278,2,4,4,3637,10278,3229333,10.0,4.0,0.0,5.0,15.0,1.0,2.0,13.82,0.0,3.32,64.26,18.59,Região Plana - Confortável para caminhar,1251.0,LINHA003,ESTACAO003
342,226,250,1973,12,1271160,2497,BAIRRO002,7931.36,189,1,3,3,3178,8650,1821400,9.0,16.0,0.0,7.0,14.0,0.0,2.0,3.75,0.03,5.69,71.52,19.01,Região com ruas íngremes,1755.0,LINHA002,ESTACAO002
2614,209,700,1964,21,937959,2139,BAIRRO002,5483.37,155,1,3,2,1792,8256,1647094,9.0,15.0,1.0,8.0,13.0,0.0,2.0,3.75,0.03,5.69,71.52,19.01,Região com ruas íngremes,1793.0,LINHA002,ESTACAO002
584,213,290,1974,17,940072,2497,BAIRRO002,5515.54,118,2,3,2,1982,5974,1003231,12.0,8.0,1.0,7.0,7.0,0.0,2.0,1.29,0.0,5.17,79.24,14.31,Região com ruas íngremes,1880.0,LINHA002,ESTACAO002
1202,620,532,1978,14,3571730,3599,BAIRRO002,30379.2,341,3,3,5,3650,11688,5558333,14.0,7.0,1.0,6.0,6.0,0.0,2.0,1.29,0.0,5.17,79.24,14.31,Região com ruas íngremes,1900.0,LINHA002,ESTACAO002
1202,843,532,1978,14,4873230,3599,BAIRRO002,42994.2,502,3,4,4,5373,17206,9036491,14.0,7.0,1.0,6.0,6.0,0.0,2.0,1.29,0.0,5.17,79.24,14.31,Região com ruas íngremes,1900.0,LINHA002,ESTACAO002
1140,318,350,1980,18,1627440,2497,BAIRRO002,10675.5,225,3,3,4,3913,10749,2498889,15.0,7.0,1.0,6.0,8.0,0.0,2.0,3.89,0.03,2.46,74.46,19.15,Região com ruas íngremes,1916.0,LINHA002,ESTACAO002
1140,514,350,1980,18,2885980,3092,BAIRRO002,22221.6,363,3,3,4,6313,17342,4130489,15.0,7.0,1.0,6.0,8.0,0.0,2.0,3.89,0.03,2.46,74.46,19.15,Região com ruas íngremes,1916.0,LINHA002,ESTACAO002
739,380,656,1996,14,2241240,2497,BAIRRO002,15646.4,188,3,4,4,3394,7619,1905925,15.0,7.0,1.0,6.0,8.0,0.0,3.0,3.89,0.03,2.46,74.46,19.15,Região com ruas íngremes,1931.0,LINHA002,ESTACAO002
739,708,656,1996,14,4967950,3599,BAIRRO002,43549.2,421,4,4,1,7600,17062,5280126,15.0,7.0,1.0,6.0,8.0,0.0,3.0,3.89,0.03,2.46,74.46,19.15,Região com ruas íngremes,1931.0,LINHA002,ESTACAO002
790,268,195,1983,16,1856480,2497,BAIRRO002,12062.7,163,3,3,4,2961,7787,2537885,15.0,7.0,1.0,6.0,8.0,0.0,3.0,3.89,0.03,2.46,74.46,19.15,Região com ruas íngremes,1935.0,LINHA002,ESTACAO002
790,483,195,1983,16,3232000,3092,BAIRRO002,24834.9,327,3,4,5,5940,15622,4380693,15.0,7.0,1.0,6.0,8.0,0.0,3.0,3.89,0.03,2.46,74.46,19.15,Região com ruas íngremes,1935.0,LINHA002,ESTACAO002
1320,653,852,1992,15,4298190,3599,BAIRRO002,37545.8,361,4,4,6,5715,15042,1066240,15.0,8.0,1.0,6.0,8.0,0.0,1.0,1.29,0.0,5.17,79.24,14.31,Região com ruas íngremes,1938.0,LINHA002,ESTACAO002
1320,1188,852,1992,15,7664120,3599,BAIRRO002,70694.3,679,5,3,5,10749,28292,11869805,15.0,8.0,1.0,6.0,8.0,0.0,1.0,1.29,0.0,5.17,79.24,14.31,Região com ruas íngremes,1938.0,LINHA002,ESTACAO002
1191,464,600,1973,24,1990570,3092,BAIRRO002,14665.7,306,3,4,5,2790,10000,4219813,15.0,9.0,1.0,6.0,8.0,0.0,2.0,3.7,0.0,5.15,74.61,16.54,Região com ruas íngremes,600.0,LINHA003,ESTACAO003
800,402,500,1974,16,1885820,3092,BAIRRO002,13395.5,353,2,3,4,3754,11954,3714135,15.0,9.0,1.0,6.0,8.0,0.0,2.0,1.57,0.0,5.67,85.56,7.2,Região com ruas íngremes,1995.0,LINHA002,ESTACAO002
1365,236,600,1962,15,1049200,2497,BAIRRO002,6699.77,159,2,3,3,1319,4850,2037944,15.0,9.0,1.0,6.0,8.0,0.0,2.0,3.7,0.0,5.15,74.61,16.54,Região com ruas íngremes,639.0,LINHA003,ESTACAO003
1365,227,600,1962,15,1028590,2497,BAIRRO002,6536.32,163,2,3,4,1352,4972,1906464,15.0,9.0,1.0,6.0,8.0,0.0,2.0,3.7,0.0,5.15,74.61,16.54,Região com ruas íngremes,639.0,LINHA003,ESTACAO003
480,234,320,1976,14,1480580,2497,BAIRRO002,9383.65,139,2,4,3,2660,7257,1132075,15.0,9.0,1.0,6.0,8.0,0.0,2.0,3.7,0.0,5.15,74.61,16.54,Região com ruas íngremes,647.0,LINHA003,ESTACAO003
837,245,201,1979,17,1273040,2497,BAIRRO002,7975.12,172,3,4,4,2530,8482,1577869,16.0,7.0,1.0,6.0,7.0,0.0,2.0,9.14,0.0,2.54,72.0,16.31,Região com ruas íngremes,690.0,LINHA003,ESTACAO003
837,498,201,1979,17,2804810,3092,BAIRRO002,21559.4,344,3,3,5,5060,16964,3908158,16.0,7.0,1.0,6.0,7.0,0.0,2.0,9.14,0.0,2.54,72.0,16.31,Região com ruas íngremes,690.0,LINHA003,ESTACAO003
937,157,500,1976,14,965247,2497,BAIRRO002,5498.05,126,1,2,2,1944,6999,1226317,17.0,8.0,1.0,6.0,8.0,0.0,2.0,3.33,0.0,3.75,83.53,9.39,Região com ruas íngremes,707.0,LINHA003,ESTACAO003
856,423,600,1974,12,2400290,3092,BAIRRO002,17552.9,279,3,4,4,3676,8688,3979200,18.0,8.0,1.0,6.0,8.0,0.0,2.0,9.14,0.0,2.54,72.0,16.31,Região com ruas íngremes,717.0,LINHA003,ESTACAO003
1490,185,500,1973,24,736284,2139,BAIRRO002,3835.95,137,1,3,3,1242,5392,1489799,19.0,9.0,1.0,8.0,8.0,0.0,3.0,9.14,0.0,2.54,72.0,16.31,Região com ruas íngremes,752.0,LINHA003,ESTACAO003
1490,225,500,1973,24,890799,2139,BAIRRO002,4826.46,170,2,3,3,1541,6691,1889013,19.0,9.0,1.0,8.0,8.0,0.0,3.0,9.14,0.0,2.54,72.0,16.31,Região com ruas íngremes,752.0,LINHA003,ESTACAO003
1095,300,812,1987,14,1602690,2497,BAIRRO002,10609.6,172,2,3,1,2550,8500,996093,17.0,11.0,1.0,6.0,10.0,0.0,2.0,3.33,0.0,3.75,83.53,9.39,Região com ruas íngremes,750.0,LINHA003,ESTACAO003
309,193,300,1968,12,879311,2497,BAIRRO002,5104.4,153,1,2,2,1767,6462,1317024,16.0,11.0,1.0,6.0,7.0,0.0,2.0,3.33,0.0,3.75,83.53,9.39,Região com ruas íngremes,772.0,LINHA003,ESTACAO003
1950,227,555,1987,18,819065,2497,BAIRRO002,5117.79,175,3,3,3,1663,5824,1527433,20.0,12.0,1.0,7.0,9.0,0.0,3.0,3.33,0.0,3.75,83.53,9.39,Região com ruas íngremes,766.0,LINHA003,ESTACAO003
571,232,331,1968,11,1060810,2497,BAIRRO002,6379.36,168,1,3,1,1920,11861,1776225,19.0,12.0,1.0,7.0,9.0,0.0,3.0,3.63,0.0,4.35,80.54,11.48,Região com leve declive,780.0,LINHA003,ESTACAO003
990,407,277,1982,18,2217430,3092,BAIRRO002,16371.2,231,3,3,4,3284,11234,3213000,20.0,12.0,1.0,7.0,8.0,0.0,3.0,9.14,0.0,2.54,72.0,16.31,Região com ruas íngremes,774.0,LINHA003,ESTACAO003
623,311,320,1972,16,1383100,2497,BAIRRO002,8831.25,215,1,1,3,3015,8579,1822178,19.0,13.0,1.0,7.0,9.0,0.0,3.0,3.63,0.0,4.35,80.54,11.48,Região com leve declive,810.0,LINHA003,ESTACAO003
623,308,320,1972,16,1378270,2497,BAIRRO002,8782.49,225,2,3,4,3155,8978,2525000,19.0,13.0,1.0,7.0,9.0,0.0,3.0,3.63,0.0,4.35,80.54,11.48,Região com leve declive,810.0,LINHA003,ESTACAO003
636,366,366,1972,13,1829450,3092,BAIRRO002,12723.9,261,2,4,2,2610,9962,2560119,19.0,12.0,1.0,7.0,8.0,0.0,2.0,3.63,0.0,4.35,80.54,11.48,Região com leve declive,824.0,LINHA003,ESTACAO003
1035,197,400,1972,13,905127,2139,BAIRRO002,4934.86,103,0,2,2,1596,5183,986715,19.0,13.0,1.0,8.0,8.0,1.0,3.0,9.14,0.0,2.54,72.0,16.31,Região com ruas íngremes,809.0,LINHA003,ESTACAO003
1275,423,400,1970,15,2193970,3092,BAIRRO002,15670.8,345,2,3,4,3855,10648,997364,18.0,13.0,1.0,8.0,10.0,1.0,3.0,9.14,0.0,2.54,72.0,16.31,Região com ruas íngremes,838.0,LINHA003,ESTACAO003
1275,667,400,1970,15,3661340,3599,BAIRRO002,30436.8,347,3,3,4,3877,10710,1101437,18.0,13.0,1.0,8.0,10.0,1.0,3.0,9.14,0.0,2.54,72.0,16.31,Região com ruas íngremes,838.0,LINHA003,ESTACAO003
615,90,300,1972,12,352692,2139,BAIRRO002,775.909,75,1,2,1,1042,3500,618910,18.0,12.0,0.0,7.0,8.0,1.0,2.0,3.63,0.0,4.35,80.54,11.48,Região com leve declive,853.0,LINHA003,ESTACAO003
900,210,600,1970,15,1139130,2497,BAIRRO002,6896.4,153,1,3,2,2076,7808,1333298,17.0,12.0,0.0,6.0,9.0,1.0,2.0,3.63,0.0,4.35,80.54,11.48,Região com leve declive,885.0,LINHA003,ESTACAO003
455,124,300,1975,12,608025,2139,BAIRRO002,2919.28,83,1,2,2,1334,3692,756516,15.0,12.0,1.0,7.0,11.0,1.0,2.0,10.01,0.0,3.94,70.83,15.22,Áreas planas ou com declividades muito suaves,953.0,LINHA003,ESTACAO003
720,438,345,1975,13,2024930,2497,BAIRRO002,13948.3,271,2,3,3,4775,15056,4124091,15.0,12.0,1.0,6.0,12.0,1.0,2.0,2.87,0.0,3.66,82.92,10.55,Áreas planas ou com declividades muito suaves,956.0,LINHA003,ESTACAO003
1050,158,400,1971,18,648492,2497,BAIRRO002,3582.38,120,1,2,2,1481,12000,1421636,15.0,12.0,1.0,6.0,11.0,1.0,2.0,2.87,0.0,3.66,82.92,10.55,Áreas planas ou com declividades muito suaves,984.0,LINHA003,ESTACAO003
1050,403,400,1971,18,1655840,2497,BAIRRO002,11230.3,179,1,4,3,2209,17900,2786786,15.0,12.0,1.0,6.0,11.0,1.0,2.0,2.87,0.0,3.66,82.92,10.55,Áreas planas ou com declividades muito suaves,984.0,LINHA003,ESTACAO003
1118,453,263,1984,18,2962000,3092,BAIRRO002,22660.2,244,3,4,4,2888,10275,3333214,15.0,11.0,1.0,7.0,10.0,1.0,3.0,10.52,0.0,4.69,72.73,12.06,Áreas planas ou com declividades muito suaves,994.0,LINHA003,ESTACAO003
1118,629,263,1984,18,4408570,3599,BAIRRO002,37452.3,402,3,4,4,4758,16928,6065892,15.0,11.0,1.0,7.0,10.0,1.0,3.0,10.52,0.0,4.69,72.73,12.06,Áreas planas ou com declividades muito suaves,994.0,LINHA003,ESTACAO003
1000,428,250,1983,17,2449950,3092,BAIRRO002,18387.0,227,3,4,3,3523,8285,2643056,16.0,13.0,1.0,5.0,10.0,1.0,1.0,2.87,0.0,3.66,82.92,10.55,Áreas planas ou com declividades muito suaves,1018.0,LINHA003,ESTACAO003
1000,771,250,1983,17,4113540,3092,BAIRRO002,34341.2,454,3,4,3,7046,16570,5286111,16.0,13.0,1.0,5.0,10.0,1.0,1.0,2.87,0.0,3.66,82.92,10.55,Áreas planas ou com declividades muito suaves,1018.0,LINHA003,ESTACAO003
518,263,350,1971,14,1203970,2497,BAIRRO002,7426.81,190,2,3,0,3200,8375,2639950,15.0,11.0,1.0,5.0,10.0,1.0,3.0,10.52,0.0,4.69,72.73,12.06,Áreas planas ou com declividades muito suaves,1024.0,LINHA003,ESTACAO003
518,305,444,1980,13,1493360,2497,BAIRRO002,9711.65,210,2,4,4,3104,12000,890165,15.0,11.0,1.0,5.0,9.0,1.0,3.0,10.52,0.0,4.69,72.73,12.06,Áreas planas ou com declividades muito suaves,1019.0,LINHA003,ESTACAO003
518,566,444,1980,13,2859930,3092,BAIRRO002,22516.2,395,2,4,5,5838,22571,5601900,15.0,11.0,1.0,5.0,9.0,1.0,3.0,10.52,0.0,4.69,72.73,12.06,Áreas planas ou com declividades muito suaves,1019.0,LINHA003,ESTACAO003
