area_terreno,area_construida,area_ocupada,ano_construcao,quantidade_pavimentos,valor_venal,valor_m2_construcao,bairro,valor_iptu_ano,area_privativa,vagas,quartos,banheiros,valor_condominio,valor_aluguel,preco,academia,cafe,farmacia,padaria,restaurantes,shopping,supermercado,area_comercial,area_industrial_logistico,area_outros,area_residencial,area_servico,caminhabilidade,metro_distancia,metro_linha,metro_estacao
604,152,604,1998,16,554443,2139,BAIRRO011,2796.99,75,2,2,2,1400,3660,622417,17.0,6.0,2.0,7.0,41.0,0.0,0.0,6.88,1.21,10.28,73.09,8.54,Região com leve declive,1293.0,LINHA003,ESTACAO011
800,105,400,1975,13,265634,2139,BAIRRO011,155.406,68,1,1,1,869,2141,426228,17.0,5.0,1.0,9.0,45.0,0.0,0.0,4.65,0.51,8.46,73.73,12.66,Áreas planas ou com declividades muito suaves,1406.0,LINHA003,ESTACAO011
3127,173,2481,2008,28,752272,2497,BAIRRO011,4576.88,86,2,3,3,1071,5000,1004931,17.0,5.0,1.0,9.0,47.0,0.0,0.0,5.83,0.87,8.32,64.36,20.63,Região com leve declive,1429.0,LINHA003,ESTACAO011
3127,215,2481,2008,28,912964,2497,BAIRRO011,5774.2,123,2,4,3,1532,7151,1377463,17.0,5.0,1.0,9.0,47.0,0.0,0.0,5.83,0.87,8.32,64.36,20.63,Região com leve declive,1429.0,LINHA003,ESTACAO011
8530,192,7816,1998,25,708134,2139,BAIRRO011,3752.72,90,2,3,2,1053,4893,910051,14.0,5.0,1.0,7.0,37.0,0.0,0.0,5.83,0.87,8.32,64.36,20.63,Região com leve declive,1459.0,LINHA003,ESTACAO011
8530,302,7816,1998,25,1232650,2497,BAIRRO011,8319.31,155,3,3,1,1814,8427,1437954,14.0,5.0,1.0,7.0,37.0,0.0,0.0,5.83,0.87,8.32,64.36,20.63,Região com leve declive,1459.0,LINHA003,ESTACAO011
2950,202,2250,2003,24,713723,2139,BAIRRO011,3924.57,116,2,3,3,1210,5750,1193551,15.0,5.0,1.0,8.0,41.0,0.0,0.0,4.65,0.51,8.46,73.73,12.66,Áreas planas ou com declividades muito suaves,1514.0,LINHA003,ESTACAO011
1018,97,926,1993,19,415086,2139,BAIRRO011,1239.88,62,1,2,2,1229,2549,575296,16.0,3.0,1.0,7.0,35.0,0.0,0.0,5.83,0.87,8.32,64.36,20.63,Região com leve declive,1526.0,LINHA003,ESTACAO011
631,91,279,1978,15,232968,2139,BAIRRO011,1091.33,73,1,2,2,924,2829,507009,18.0,3.0,1.0,8.0,29.0,0.0,0.0,4.65,0.51,8.46,73.73,12.66,Áreas planas ou com declividades muito suaves,1604.0,LINHA003,ESTACAO011
631,115,279,1978,15,294759,2139,BAIRRO011,272.96,75,1,2,2,949,2907,515931,18.0,3.0,1.0,8.0,29.0,0.0,0.0,4.65,0.51,8.46,73.73,12.66,Áreas planas ou com declividades muito suaves,1604.0,LINHA003,ESTACAO011
798,379,285,1976,12,2418830,3092,BAIRRO004,17368.1,270,3,3,2,4800,10000,4320000,12.0,23.0,1.0,6.0,25.0,0.0,2.0,18.19,0.0,5.74,60.51,15.56,Região Plana - Confortável para caminhar,1251.0,LINHA003,ESTACAO003
740,354,354,1975,12,2216850,3092,BAIRRO004,15538.7,240,2,3,3,3641,7297,2939653,12.0,22.0,1.0,6.0,25.0,0.0,2.0,18.19,0.0,5.74,60.51,15.56,Região Plana - Confortável para caminhar,1267.0,LINHA003,ESTACAO003
1362,105,261,1977,11,346878,2139,BAIRRO012,1035.17,72,2,2,2,954,3264,654919,19.0,4.0,1.0,3.0,8.0,0.0,2.0,3.2,0.0,2.09,84.17,10.53,Região com ruas íngremes,1286.0,LINHA003,ESTACAO017
480,49,280,1979,10,177819,2139,BAIRRO012,826.565,35,1,1,1,651,1909,350944,18.0,3.0,0.0,2.0,10.0,0.0,2.0,3.03,0.0,5.67,81.02,10.28,Região com ruas íngremes,1285.0,LINHA003,ESTACAO017
1472,228,454,1989,14,869682,2497,BAIRRO012,5571.08,204,3,4,1,2168,8377,1564776,17.0,4.0,0.0,2.0,10.0,0.0,2.0,3.03,0.0,5.67,81.02,10.28,Região com ruas íngremes,1318.0,LINHA003,ESTACAO017
872,299,737,1995,18,1268270,2497,BAIRRO012,8897.29,172,3,3,2,2833,7950,1025571,18.0,4.0,0.0,2.0,12.0,0.0,2.0,4.29,0.0,4.76,81.83,9.11,Região com ruas íngremes,1379.0,LINHA003,ESTACAO017
872,479,737,1995,18,2299280,3092,BAIRRO012,18896.5,305,4,3,4,5024,14097,3727273,18.0,4.0,0.0,2.0,12.0,0.0,2.0,4.29,0.0,4.76,81.83,9.11,Região com ruas íngremes,1379.0,LINHA003,ESTACAO017
800,133,600,1973,6,441462,2139,BAIRRO012,1605.16,110,1,2,3,775,2674,1052912,17.0,5.0,0.0,2.0,13.0,0.0,2.0,4.29,0.0,4.76,81.83,9.11,Região com ruas íngremes,1400.0,LINHA003,ESTACAO017
1200,554,316,1991,20,2338420,3092,BAIRRO012,19826.2,250,3,4,2,3467,8000,921470,19.0,5.0,1.0,2.0,14.0,0.0,2.0,4.29,0.0,4.76,81.83,9.11,Região com ruas íngremes,1419.0,LINHA003,ESTACAO017
1200,972,316,1991,20,4579420,3599,BAIRRO012,43181.4,500,3,4,4,6934,16000,5335282,19.0,5.0,1.0,2.0,14.0,0.0,2.0,4.29,0.0,4.76,81.83,9.11,Região com ruas íngremes,1419.0,LINHA003,ESTACAO017
400,126,252,1975,9,367060,2139,BAIRRO012,1173.35,82,1,2,2,966,5788,658794,19.0,5.0,1.0,2.0,14.0,0.0,2.0,3.34,0.0,3.69,88.4,4.56,Região com ruas íngremes,1444.0,LINHA003,ESTACAO017
800,497,719,1996,9,2503840,3092,BAIRRO012,20852.8,203,4,4,5,2376,9355,1588257,17.0,5.0,1.0,2.0,15.0,0.0,2.0,7.23,0.3,5.22,77.35,9.89,Região com ruas íngremes,1481.0,LINHA003,ESTACAO017
1600,480,1392,1998,9,2487100,3092,BAIRRO012,20647.3,218,4,3,4,3280,9131,2347661,17.0,4.0,1.0,2.0,15.0,0.0,2.0,7.23,0.3,5.22,77.35,9.89,Região com ruas íngremes,1510.0,LINHA003,ESTACAO017
1600,710,1392,1998,9,3965850,3599,BAIRRO012,37400.7,410,4,3,4,6169,17173,4873211,17.0,4.0,1.0,2.0,15.0,0.0,2.0,7.23,0.3,5.22,77.35,9.89,Região com ruas íngremes,1510.0,LINHA003,ESTACAO017
1605,82,1019,2013,5,361917,2139,BAIRRO014,1671.9,50,1,1,1,590,2898,551718,17.0,3.0,1.0,4.0,28.0,0.0,1.0,3.4,0.06,6.27,82.55,7.72,Região com ruas íngremes,1366.0,LINHA003,ESTACAO017
1605,163,1019,2013,5,686331,2139,BAIRRO014,3609.95,80,2,2,1,944,4637,705648,17.0,3.0,1.0,4.0,28.0,0.0,1.0,3.4,0.06,6.27,82.55,7.72,Região com ruas íngremes,1366.0,LINHA003,ESTACAO017
981,131,700,1971,12,444261,2139,BAIRRO015,1566.69,85,1,2,2,1050,3317,843086,4.0,4.0,1.0,3.0,4.0,0.0,1.0,3.6,0.0,3.25,83.05,10.1,Região Plana - Confortável para caminhar,1958.0,LINHA002,ESTACAO008
1335,486,1044,2006,23,2715050,3092,BAIRRO015,22541.6,295,5,4,6,5196,11686,5420144,3.0,4.0,1.0,3.0,4.0,0.0,1.0,3.6,0.0,3.25,83.05,10.1,Região Plana - Confortável para caminhar,1917.0,LINHA002,ESTACAO008
